tt,BrandLocale,AV-US,AV-CA,AV-UK,AV-EU,AV-JP,AV-MX,AV-CN,BB-US,BB-CA,BB-UK,BB-FR,BB-JP,BB-CN,BB-MX,BK-US,BK-UK,BK-FR,BK-UAE,BU-CA,BU-US,BU-UK,CL-CA,CL-US,CL-UK,CL-FR,CL-CN,CL-JP,CL-MX,DA-CA,DA-US,DA-UK,DA-FR,DA-TR,DA-EU,EL-US,EL-CA,EL-UK,EL-MX,EL-JP,EL-CN,EL-FR,JM-US,JM-UK,JM-FR,JM-JP,JM-CN,JM-MX,JM-CA,LM-US,LM-CA,LM-UK,LM-FR,LM-JP,LM-CN,LM-MX,MC-US,MC-CA,MC-UK,MC-FR,MC-CN,MC-JP,MC-MX,SB-US,SB-CA,SB-EU,OR-US,OR-CA,OR-UK,OR-MX,OR-EU,OR-CN,OR-HK,LS-US,LS-UK,LS-KR,LS-JP,LS-CN,FM-US,FM-UK,FM-EU,GG-US,TF-US,TF-UK,TF-JP,TF-BR,TF-EU,DJ-US,DJ-UK
1,spec_seosanityhomepagepc,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,spec_seosanitympppc,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,spec_seosanityspppc,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,spec_seosanityhomepagemobile,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
1,spec_seosanitymppmobile,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
1,spec_seosanitysppmobile,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
