tt,BrandLocale,JM-FR,JM-PT,CL-DE,CL-IT,CL-ES,CL-FR,CL-GR,CL-IL,CL-SE,CL-TR,CL-ZA,AV-EU,AV-FR,AV-DE,CL-FI,EL-BE,EL-DK,EL-ES,EL-FR,EL-GR,EL-IL,EL-RU,EL-ZA,BB-DE,BB-ES,BB-FR,BB-GR,BB-IL,BB-RU,BB-TR,BB-ZA,MC-PL,MC-NO,MC-FR,MC-DE,MC-BE,SB-EU,JM-ME,OR-RU,MC-KSA,MC-ES,OR-EU,MC-TR,MC-GR,MC-RO,MC-ZA,LM-DE,MC-IN,EL-DE,EL-TR,MC-IL,MC-HU,DA-IT,MC-AT,LM-EU,BK-FR,MC-RU,CL-RU,EB-CZ,TF-DE
1,spec_sanitysearchpc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,spec_sanitysearchmob,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
