tt,Page,BrandLocale,AV-UK,BB-UK,BK-UK,BU-UK,CL-UK,DA-UK,DJ-UK,EL-UK,FM-UK,JM-UK,LM-UK,LS-UK,MC-UK,OR-UK,TF-UK,AV-US,BB-CA,BB-US,BK-US,BU-CA,BU-US,CL-CA,CL-US,DA-CA,DA-US,DJ-US,EL-CA,EL-US,FM-US,GG-US,JM-CA,JM-US,LM-CA,LM-US,LS-US,MC-CA,MC-US,OR-CA,OR-US,SB-CA,SB-US,TF-US,AV-CA,DA-FR,JM-FR,EL-ES,CL-GR,CL-FI,MC-RO,MC-TR,OR-EU,BB-DE,BK-FR,MC-HU,MC-GR,MC-DE,MC-PL,AV-DE,AV-EU,JM-ME,JM-EU,CL-ES,CL-TR,EL-GR,SB-EU,BB-FR,MC-ES,DA-IT,EL-DE,LM-DE,MC-AT,MC-BE,BB-ES,BB-GR,EL-FR,TF-DE,CL-FR,CL-DE,MC-IN,EL-BE,EL-TR,BB-TR,CL-ZA,BB-IL,CL-SE,MC-ZA,CL-IL,EL-ZA,EL-IL,MC-IL,BB-ZA,EL-DK,AV-FR,MC-NO,MC-FR,AV-AU,AV-JP,AV-KR,BB-AU,BB-CN,BB-HK,BB-JP,BB-KR,BB-TH,BB-TW,CL-AU,CL-CN,CL-HK,CL-JP,CL-KR,CL-MY,CL-NZ,CL-TH,CL-TW,DJ-KR,EL-AU,EL-CN,EL-HK,EL-JP,EL-KR,EL-MY,EL-NZ,EL-SG,EL-TH,EL-TW,JM-AU,JM-CN,JM-HK,JM-JP,JM-KR,JM-MY,JM-PH,JM-SG,JM-TH,JM-TW,JM-VN,LM-AU,LM-CN,LM-HK,LM-JP,LM-KR,LM-TH,LM-TW,LS-CN,LS-JP,LS-KR,MC-AU,MC-CN,MC-HK,MC-JP,MC-KR,MC-MY,MC-NZ,MC-TH,MC-TW,OR-CN,OR-HK,OR-TW,OR-TH,TF-JP,AV-MX,BB-MX,CL-BR,CL-CE,CL-MX,EL-BR,EL-CE,EL-MX,JM-BR,JM-MX,LM-BR,LM-MX,MC-BR,MC-CE,MC-MX,OR-MX,TF-BR
1,CONFIG,TimeoutSetting,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
1,CONFIG,navTime,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
1,CONFIG,waitTime,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
1,CONFIG,emulationDevice,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy S5,Galaxy Note 3,Galaxy Note 3,iPhone X,iPhone X,Galaxy Note 3,Galaxy Note 3,Galaxy Note 3,Galaxy Note 3,Galaxy Note 3,iPhone X,iPhone X,iPhone X,Galaxy Note 3,Galaxy Note 3,Galaxy Note 3,Galaxy Note 3,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone X,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11,iPhone 11
1,CONFIG,TimeoutSetting,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
1,MPP,ScrollDownvalue,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,1000,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,800,400,400,400,1000,400,800,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,600,400,800,800,400,600,400,2000,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
